id,label,content,weight,text_weight,emo_weight
4.98E+17,0,Black teenage boys are not men. They are children. Stop referring to a 17 year old as a man. You are killing children. #ferguson,0.671202302,0.897460818,-0.117438094
4.98E+17,0,The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/YlxEDKoebB,0.852886796,0.951677978,-0.039426466
4.98E+17,0,Police have brought out the large gear in #Ferguson. http://t.co/2gxUzOvwfy,0.8681705,0.95784533,0.203631428
4.98E+17,0,Omg Wow "@FLOCKAfierce: WOW RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/4t4RRtNWRk",0.886571229,0.935646653,0.187308052
4.98E+17,0,When you see citizens as enemies... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xTwwfXC8zy",0.895526767,0.953332484,0.309977654
4.98E+17,0,Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.,0.723662376,0.907470942,-0.153984272
4.98E+17,0,Here’s to hoping what’s happening in STL right now doesn’t get worse. #Ferguson hashtag not looking good right now. http://t.co/0fhU5EopGa,0.826203227,0.957167029,0.315612812
4.98E+17,0,"When you are black &amp; the victim of a crime, people will dig up something you did in kindergarten to justify what happened to you. #Ferguson",0.746763647,0.902748883,0.046715289
4.98E+17,0,Patrol cars still flood the streets in #ferguson more than 6 hours after police officer shot teenager @ksdknews http://t.co/fCCGAfIRbG,0.827233136,0.942149699,0.091075429
4.98E+17,0,"America doesn't think we're human, the world doesn't think we're human, and cops don't get punished for killing us for no reason. #ferguson",0.610888362,0.837180972,-0.039075591
4.98E+17,0,"Another day, another shooting of an unarmed black teenager in America by authority figures. #STL #Ferguson",0.739312291,0.925986648,-0.115359473
4.98E+17,0,People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj,0.864976346,0.946694195,0.11990339
4.98E+17,0,Being Black in this country is dangerous business. #Ferguson,0.711296976,0.901979804,0.024285396
4.98E+17,0,People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/ROvs3mXYMM,0.821501493,0.939136803,-0.128438414
4.98E+17,0,Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson,0.70499891,0.865548134,0.082919366
4.98E+17,0,"The #Ferguson shooting shows that being passive leads 2 more injustice. If a Black cop shot an unarmed white teen, Ferguson would be on fire",0.73206687,0.772320151,0.123102352
4.98E+17,0,"Police aren't being taught to protect and serve anymore. They are being taught to shoot first, explain later. #ferguson",0.673082232,0.871471822,0.063151328
4.98E+17,0,"Yes @stltoday describe people protesting police officer killing Michael Brown as ""mob"". Then, edit, ""crowd"" #ferguson http://t.co/xG3Hm8JLWy",0.883235574,0.947707653,-0.071326577
4.98E+17,0,#WeAreTargets: People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy http://t.co/wFTR1maej7",0.852466822,0.911112726,-0.128438414
4.98E+17,0,"This is not a ""black"" loss. This is a loss for America, and everyone should be concerned, outraged &amp; involved. #Ferguson",0.745944023,0.932567716,0.111027166
4.98E+17,0,"If Michael Brown had been white, @stltoday would have described crowd not as a ""mob"", but as a 'heartbroken community'. #Ferguson",0.811278939,0.913042247,0.318037938
4.98E+17,0,calling the neighbors a mob = dehumanizing a community to justify all future wrongdoing. #mikebrown #ferguson,0.768403649,0.906624675,0.107615368
4.98E+17,0,call weeping neighbors a mob --&gt; paint a picture of a violent community #MikeBrown came from --&gt; justify his execution #Ferguson,0.812871575,0.824039698,-0.154392973
4.98E+17,0,"So would that ""angry mob"" in #Ferguson also qualify as ""concerned citizens""? What's the difference, skin color? #justice4all",0.797443032,0.920644879,0.264459242
4.98E+17,0,Unfollow me NOW if you're like "Why was he running?" or tweeting ANY justification 4 the murder of #MikeBrown by #Ferguson cops.,0.799276829,0.930395186,0.22828041
4.98E+17,0,"PAY ATTENTION as ""teen"" becomes ""man,"" ""community"" becomes ""mob,"" and ""murder"" becomes ""alleged shooting."" #Ferguson #medialiteracy",0.726634979,0.926367164,-0.033750772
4.98E+17,0,"Reminder that this is legal, but young unarmed black men are threatening and make us ""uncomfortable""  #Ferguson http://t.co/VbRyW7J9nR",0.875214934,0.957532763,0.10129794
4.98E+17,0,Interview with mother of victim. The police wouldn't let her ID her own son http://t.co/jUonPxq4TW #Ferguson,0.859474301,0.952168584,-0.076028963
4.98E+17,0,Police murder another unarmed 17 yr old blk kid &amp; police show up like this. I can't take it! #Ferguson #WeAreTargets http://t.co/RuZ8YAgGPr,0.885745168,0.964809477,-0.120134447
4.98E+17,0,"To all white ppl horrified by #Ferguson: go to police, school board, &amp; mayor and teach how anti-blackness kills. They don't listen to us.",0.803402305,0.905074835,-0.029634713
4.98E+17,0,"The mother of #MikeBrown, the 17-year-old killed by #Ferguson police today, says her son was about to start at Vatterott College next week.",0.753329873,0.866207838,-0.086403541
4.98E+17,0,How many unarmed black teenagers will be killed in America? #ThatIsTheQuestion#Ferguson http://t.co/5L8043MSaP,0.863462389,0.966439545,0.095812144
4.98E+17,0,"""The 18 year old victim had no weapon and his hands in the air and was still shot multiple times."" https://t.co/kTIEq8TkkC #Ferguson",0.812158048,0.950178981,-0.071564395
4.98E+17,0,Mike Brown was to start studying at Vatterott College on Monday. #Ferguson,0.687836587,0.892695606,0.077074697
4.98E+17,0,Notice it's "involved in the shooting" not "killed a child." Notice it's "paid administrative leave" not "has been arrested"#Ferguson,0.667093635,0.859175086,0.269975658
4.98E+17,0,The police officer who killed Mike Brown has been put on paid administrative leave. #Ferguson,0.671657503,0.884015858,0.035334154
4.98E+17,0,Michael Brown was due to begin classes at Vatterott College tomorrow.His mother mourns his loss:#Ferguson http://t.co/YMSK7Skp9y,0.856766105,0.956097245,-0.126271624
4.98E+17,0,"Multiple witnesses have told the media in #Ferguson, that Mike Brown had his hands up when he was shot ""multiple"" times by police officer.",0.724430561,0.833890319,0.140627013
4.98E+17,0,"Black bodies are no longer swinging from trees, they are laying on the streets.  #Ferguson #detriot #oakland #nyc #usa",0.75759387,0.882923245,-0.329199603
4.98E+17,0,Michael Brown was supposed to start classes at Vatterott College on Monday. Instead gunned down in street by #Ferguson police.,0.72206229,0.870851398,-0.235071996
4.98E+17,0,"Favorite this now: In the next week, we will hear about EVERY transgression #MikeBrown has ever had since soiling his diapers. #Ferguson",0.749926209,0.928884506,0.373361601
4.98E+17,0,Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/A4RJS4unlx,0.870942891,0.956975996,-0.007018081
4.98E+17,0,People are gathering at the site where #Ferguson police killed 17-year-old #MikeBrown. Police have swarmed the area. http://t.co/NlqbthTiAc,0.849734008,0.958153605,-0.09670317
4.98E+17,0,The police presence in #Ferguson following the shooting of Michael Brown was mind blowing. http://t.co/UGdNcWtpbH,0.860738397,0.949464083,-0.010791867
4.98E+17,0,Rose petals and candles have been placed in the street where #MikeBrown's body laid. #Ferguson http://t.co/kCn4dHqNwQ,0.848467886,0.95602262,-0.023004646
4.98E+17,0,"People in the street shouting ""No Justice, No Peace"" and blocking a Kinloch police car from passing. #Ferguson http://t.co/7jp4rqT4G6",0.844958663,0.930976212,0.176172189
4.98E+17,0,Rest in Peace Mike Brown. #Ferguson,0.681192994,0.921484828,0.084957644
4.98E+17,0,The crowd has forced the police car to reverse. #ferguson https://t.co/B9YqGhq0hZ,0.848715544,0.96311307,-0.138812256
4.98E+17,0,"America: Where an unarmed black teen gunned to death by the cops isn't seen as a victim, but a white kid on a shooting spree is. #Ferguson",0.695831656,0.892054915,-0.045018465
4.98E+17,0,They've brought the dogs out in #Ferguson https://t.co/gXQeLtaXjt,0.862765729,0.962621272,0.404992478
4.98E+17,0,An unarmed 17 year old kid shot 10 times &amp; once in the HEAD?!?!Not sure how you can "spin that".#Ferguson,0.754254162,0.908841491,0.076432944
4.98E+17,0,#Ferguson Regardless of what color you are; the militarized police response here is BONECHILLING http://t.co/uumztSc6c8,0.854881108,0.96223855,0.243711212
4.98E+17,0,#Ferguson police have brought dogs into neighborhood. Residents protest with hands in the air. Tension is growing... http://t.co/BxYIsHHjnE,0.823374629,0.94620955,0.095436004
4.98E+17,0,Things are getting very tense in #Ferguson. https://t.co/2pDUHAR2B7,0.825452685,0.955460906,0.404992478
4.98E+17,0,Someone remind me what year it is again. Cops shoot unarmed young man then bring the dogs out to "handle" the crowd. #Ferguson #MikeBrown,0.763477981,0.887196898,0.083963209
4.98E+17,0,"Right now in #Ferguson, MO following the killing of 17-year-old #MikeBrown http://t.co/caqdthrkq0",0.832535267,0.950861096,0.004889392
4.98E+17,0,The only reason those cops haven't gone all Selma on the people in #Ferguson is because the cameras are rolling. That's it.,0.670307755,0.855845332,0.278501975
4.98E+17,0,"Rest in Peace, Michael Brown. 17 forever.#Ferguson http://t.co/fMq9mJRwtL",0.855853021,0.944173455,0.084957644
4.98E+17,0,Awful. RT @AntonioFrench #Ferguson Police have dogs and shotguns. The unarmed crowd is raising their hands. https://t.co/OFXxJLuDtj,0.864488065,0.965776086,0.096530587
4.98E+17,0,Black people die 2 deaths: 1) by public execution &amp; 2) an assassination of their character to justify the murder. #Ferguson #MikeBrown,0.803028345,0.940432072,-0.048697627
4.98E+17,0,They broke out the terrorist response gear for citizens in #Ferguson protesting cold blooded police murder. Are we still in America??,0.795593381,0.893977046,-0.138480089
4.98E+17,0,What year are we in again? This is looking like the 50s #Ferguson http://t.co/TeLcT3d3yh,0.824978232,0.951181531,0.404992478
4.98E+17,0,"The police in #Ferguson are using military suppression tactics on unarmed civilians. That's not law enforcement, b.",0.710669756,0.894075334,-0.12602088
4.98E+17,0,Situation in #Ferguson getting very tense after police killed unarmed teenager Mike Brown (photo: @AntonioFrench) http://t.co/gL3y9pkfV7,0.874976993,0.947259426,0.102046044
4.98E+17,0,Someone please remind me what year it is again? #ferguson http://t.co/33cebmojwV,0.804804444,0.955271602,0.404992478
4.98E+17,0,Crazy RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/0rmR6PhSvi,0.853918791,0.948856711,0.026662869
4.98E+17,0,"The cop who shot #MikeBrown is on paid leave. Shoot a black kid, get a paid vacation. #WeAreTargets #Ferguson",0.794050694,0.876338124,-0.178812914
4.98E+17,0,The police have come into the community with dogs. #ferguson http://t.co/QWhlu0xEtB,0.865227103,0.958818674,0.203631428
4.98E+17,0,Cops gun down a 17-year-old in front of you &amp; lock down your neighborhood with scores of armed cops because THEY feel threatened #Ferguson,0.702620447,0.817646384,-0.282514425
4.98E+17,0,Never forget the original relationship between the police and blacks...#wearetargets#Ferguson http://t.co/Y0dOOu4LbE,0.873212695,0.955573916,-0.092990206
4.98E+17,0,#message RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/vI4tDnvT1W,0.846754789,0.952951372,0.404992478
4.98E+17,0,Ferguson Police have dogs and shotguns. The unarmed crowd is raising their hands. #ferguson #fergusonshooting  https://t.co/t2MLq3SsrV,0.854614735,0.95408535,0.243711211
4.98E+17,0,RT @_westwest_yall: Never forget the original relationship between the police and blacks...#wearetargets#Ferguson http://t.co/Hbd4J61Va7,0.885927677,0.955583811,-0.092990206
4.98E+17,0,"The #Ferguson chief, the County chief, County prosecutor, and @CharlieADooley need to reach out to the family and promise justice TONIGHT.",0.776765645,0.896255374,-0.040377996
4.98E+17,0,Reach RT @brennamuncy Someone please remind me what year it is again? #ferguson http://t.co/1Yz0RPNFIT,0.842187762,0.946809173,0.404992478
4.98E+17,0,White man with gun *goes* to Target. Black kid without gun *is* the target. #Ferguson,0.738033652,0.866394997,-0.252692407
4.98E+17,0,"People are angry, frustrated but peaceful tonight in #Ferguson. The police dept's heavy handed approach made things worse. Leaving was good.",0.764840245,0.904830933,0.033536551
4.98E+17,0,Dear mainstream media: The story is not the protest. The story is the police shooting of an unarmed black teenager. #Ferguson,0.78837961,0.929041684,-0.032706898
4.98E+17,0,Dogs? In 2014? #Ferguson RT @AntonioFrench: Right now in #Ferguson MO following the killing of 17-year-old #MikeBrown http://t.co/iniDpLhVgo,0.854440451,0.960372567,0.004889392
4.98E+17,0,"NOTICE: 0 evidence of ""kill the police"" chant in #Ferguson but all news outlets report it, yet pics of lifeless victim? ""Alleged shooting.""",0.812218308,0.874918461,-0.048353288
4.98E+17,0,Police are leaving now. #ferguson https://t.co/tozjird2vf,0.839797437,0.967129946,0.11990339
4.98E+17,0,Protestors at the #Ferguson Police Dept. https://t.co/0gAGopdQ8u,0.848731995,0.935512364,-0.095370008
4.98E+17,0,"Michael Brown, unarmed black teen killed by police in #Ferguson was set to start college on Monday. @MichaelSkolnik:https://t.co/4LODno0FLr",0.875776947,0.940410495,-0.221712727
4.98E+17,0,Protest at #Ferguson police dept right now https://t.co/zyZMLpgOpS,0.844992757,0.950364351,0.111659839
4.98E+17,0,It's messed up when cops can shoot unarmed Black teen yet White people can walk around Target with AR-15's! #Ferguson,0.735606909,0.915587783,-0.151790068
4.98E+17,0,Protestors outside #Ferguson police department headquarters right now http://t.co/sjHMxSulha,0.838539839,0.929854751,0.11990339
4.98E+17,0,Don't live in #Ferguson? Call the Police station leave Chief Tom Jackson a message 314-522-3100 ext #5588 or tweet @stlcountypd #MikeBrown,0.881630301,0.941269875,-0.268327894
4.98E+17,0,"Unarmed teen killed by cops isn't the headline but calling black people ""ANGRY MOB!"" is, that tells you everything about the media #Ferguson",0.770372391,0.884620488,0.070507657
4.98E+17,0,#WeAreTargets RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/ZRJ00GRDZG,0.861876607,0.957668066,0.404992478
4.98E+17,0,At the #Ferguson police dept headquarters https://t.co/jIaKhelaAk,0.809873939,0.937379003,-0.095370008
4.98E+17,0,"""He threw his hands up and they shot him. The boy fell and they shot him some more."" http://t.co/WTqOpAhVRw  #ferguson #mikebrown",0.845453441,0.935855865,0.005493952
4.98E+17,0,"Protest continues in front of #ferguson police dept ""the people united, will never be defeated"" #FergusonShooting http://t.co/4wXq3z6tDX",0.884987831,0.910312414,0.04879674
4.98E+17,0,"The killing, the militarized police response, the coverage. How many more ways can you say ""Your lives hold no value""? #MikeBrown #Ferguson",0.767419934,0.925495982,0.214642303
4.98E+17,0,I’m in #Ferguson and the witnesses are telling a chillin story. This young man was truly executed.,0.76752907,0.891065121,0.083039283
4.98E+17,0,This is not okay. #Ferguson http://t.co/hb3jH6GfAt,0.826799035,0.962376654,0.404992478
4.98E+17,0,I can't stomach another #justicefor campaign. Real justice isn't a conviction. It's black ppl not being used for target practice. #Ferguson,0.770159304,0.929833949,0.193706151
4.98E+17,0,Please note Twitter had the #Ferguson story BEFORE ALL national news outlets. But keep telling me how Twitter doesn't matter. 😒,0.781461,0.917541027,0.404992478
4.98E+17,0,"Nothing screams action like placing pressure on the head of the city, Mayor Knowles. Call or email him! #Ferguson http://t.co/CvTxppaWWN",0.860118985,0.962075949,-0.299188971
4.98E+17,0,Witness: "He threw his hands up and they shot him. The boy fell and they shot him some more." #Ferguson http://t.co/sSbXDOUTMn,0.820349097,0.942530751,0.008015572
4.98E+17,0,"Trayvon Martin. Jordan Davis. Renisha McBride. Mike Brown. Our streets are stained with the blood of unarmed, black teens. #Ferguson",0.730563879,0.891429901,-0.175344144
4.98E+17,0,"Don't tell a heartbroken community how to feel, what to say. Try listening to them instead. #Ferguson",0.685267925,0.886181235,0.383937599
4.98E+17,0,"It's incredibly upsetting hearing about the execution of children by the authorities in Iraq, Gaza, and Missouri. #MikeBrown #Ferguson",0.73786664,0.91342485,-0.018858244
4.98E+17,0,Wonder how many breaking news reports there would be on national networks if a white unarmed teenager was shot + killed by police? #Ferguson,0.779702902,0.916845977,0.190354819
4.98E+17,0,Follow @MichaelSkolnik NOW if you want to follow the story about the unarmed teenager who was killed by the #Ferguson police.,0.757284284,0.930012643,0.322700235
4.98E+17,0,"Young black victims are killed twice in America―once by gun, second by media. Let the victim be the victim this time. #Ferguson",0.763924599,0.92168808,-0.057101001
4.98E+17,0,"No matter what COLOR you are...the murder by cop in #Ferguson is WRONG.  Let's stand together, do NOT let them divide us.",0.731337488,0.892397642,0.280391889
4.98E+17,0,"White-privilege apologist internet trolls saying, ""Wait for details before you jump to conclusions."" You need more details? #Ferguson",0.791837215,0.928762794,-0.011396949
4.98E+17,0,The @latimes reports on #Ferguson - http://t.co/p69w3eaHpb http://t.co/3DtEAVnpkW,0.815992832,0.951955914,0
4.98E+17,0,"High school graduation picture of Mike Brown. May he rest in peace, while we fight for his justice. #Ferguson http://t.co/ZpWHsvpnQi",0.819643974,0.961653829,-0.000467467
4.98E+17,0,"#MikeBrown, left, is gunned down for WWB (walking while black),but guy on the right can point a gun at cops #Ferguson http://t.co/ydAVrBLQke",0.849671066,0.922715247,-0.24139784
4.98E+17,0,"Police in #Ferguson, Missouri, shot and killed a 17-year-old boy. http://t.co/TbVlOFxEus#FergusonShooting",0.81197226,0.939611554,-0.234031728
4.98E+17,0,People DEBATING whether #MikeBrown shoplifted or not-- IT DOESN'T MATTER.Shoplifting isn't punishable by DEATH IN THE STREET. #Ferguson,0.747877955,0.890190959,0.123603834
4.98E+17,0,"Late reporting from #Ferguson: ""Unrest"" outside police station. When white people do it, it's a ""vigil."" http://t.co/mkca1icOF9",0.880541086,0.960078776,0.033342729
4.98E+17,0,"If #Ferguson protesters were white, they'd be walking away with several hundred cattle and an apology. http://t.co/mkca1icOF9 #p2",0.876757383,0.955970407,0.24390782
4.98E+17,0,"17-yr-old unarmed black kid #MikeBrown was murdered by a cop in #Ferguson, Missouri yesterday. This is his stepdad: http://t.co/p8mqVvh9GY",0.857818842,0.948367655,-0.241407147
